regio2,districtPopTrend,districtPop
Oberallgäu_Kreis,0.61,155362
Oberbergischer_Kreis,0.21,272471
Oberhausen,0.09,210829
Oberhavel_Kreis,0.82,211249
Oberspreewald_Lausitz_Kreis,-0.56,110476
Odenwaldkreis,0.16,96798
Oder_Spree_Kreis,0.35,178658
Offenbach_am_Main,1.33,128744
Offenbach_Kreis,0.76,354092
Oldenburg_Kreis,0.89,168210
Oldenburg_Oldenburg,0.7,130144
Olpe_Kreis,-0.04,134775
Ortenaukreis,0.76,429479
Osnabrück,0.77,164748
Osnabrück_Kreis,0.5,357343
Ostalbkreis,0.45,314002
Ostallgäu_Kreis,0.85,140316
Osterholz_Kreis,0.56,113517
Ostholstein_Kreis,0.32,200581
Ostprignitz_Ruppin_Kreis,0.1,99078
Paderborn_Kreis,0.63,306890
Parchim_Kreis,0.12,212618
Passau,0.96,52469
Passau_Kreis,0.66,192043
Peine_Kreis,0.73,133965
Pfaffenhofen_an_der_Ilm_Kreis,1.07,127151
Pforzheim,0.92,125542
Pinneberg_Kreis,0.75,314391
Pirmasens,0.16,40403
Plön_Kreis,0.4,128647
Potsdam,1.57,178089
Potsdam_Mittelmark_Kreis,0.89,214664
Prignitz_Kreis,-0.28,76508
Rastatt_Kreis,0.57,231018
Ravensburg_Kreis,0.69,284285
Recklinghausen_Kreis,0.11,615261
Regen_Kreis,0.26,77656
Regensburg,1.3,152610
Regensburg_Kreis,0.71,193572
Rems_Murr_Kreis,0.57,426158
Remscheid,0.37,110994
Rendsburg_Eckernförde_Kreis,0.44,272775
Reutlingen_Kreis,0.62,286748
Rhein_Erft_Kreis,0.51,470089
Rhein_Hunsrück_Kreis,0.52,102937
Rhein_Lahn_Kreis,0.27,122308
Rhein_Neckar_Kreis,0.5,547625
Rhein_Pfalz_Kreis,0.5,154201
Rhein_Sieg_Kreis,0.49,599780
Rheingau_Taunus_Kreis,0.51,187157
Rheinisch_Bergischer_Kreis,0.31,283455
Rhön_Grabfeld_Kreis,0.05,79690
Rosenheim,0.71,63324
Rosenheim_Kreis,0.74,260983
Rostock,0.35,208886
Rotenburg_Wümme_Kreis,0.43,163455
Roth_Kreis,0.47,126958
Rottal_Inn_Kreis,0.63,120659
Rottweil_Kreis,0.58,139455
Rügen_Kreis,0.23,224684
Saale_Holzland_Kreis,-0.09,83051
Saale_Orla_Kreis,-0.22,80868
Saalekreis,-0.61,184582
Saalfeld_Rudolstadt_Kreis,-0.92,106356
Saarlouis_Kreis,-0.01,195201
Saarpfalz_Kreis,-0.11,142631
Sächsische_Schweiz_Osterzgebirge_Kreis,0.01,245611
Salzgitter,0.7,104948
Salzlandkreis,-0.71,190560
Sankt_Wendel_Kreis,-0.2,87397
Schaumburg_Kreis,0.31,157781
Schleswig_Flensburg_Kreis,0.61,200025
Schmalkalden_Meiningen_Kreis,-0.14,122347
Schwabach,0.46,40792
Schwäbisch_Hall_Kreis,0.87,195861
Schwalm_Eder_Kreis,0.2,180222
Schwandorf_Kreis,0.66,147189
Schwarzwald_Baar_Kreis,0.64,212381
Schweinfurt,0.6,54032
Schweinfurt_Kreis,0.39,115106
Schwerin,0.84,95818
Segeberg_Kreis,0.89,276032
Siegen_Wittgenstein_Kreis,0.09,278210
Sigmaringen_Kreis,0.6,130873
Soest_Kreis,0.41,301902
Solingen,0.34,159360
Sömmerda_Kreis,-0.19,69655
Sonneberg_Kreis,-0.06,56196
Speyer,0.36,50378
Spree_Neiße_Kreis,-0.61,114429
Stade_Kreis,0.76,203102
Starnberg_Kreis,0.66,136092
Steinburg_Kreis,0.2,131347
Steinfurt_Kreis,0.55,447614
Stendal_Kreis,-0.51,111982
Stormarn_Kreis,0.62,243196
Stadtverband_Saarbrücken_Kreis,0.17,329708
Straubing,0.87,47794
Straubing_Bogen_Kreis,0.72,100649
